Price,Acreage,Amenities_rating,Floors,days_since_min,Rooms,Distance_to_center
5.8,55,6.0,4,391,7,4.765577765312098
4.97,43,2.7,3,391,12,6.9247897538086844
12.5,55,4.8,4,391,6,9.568380802550516
4.0,40,3.0,3,391,7,7.621127302391137
1.85,14,1.5,3,391,5,4.267615531352654
13.38,66,3.0,2,391,9,7.621127302391137
1.5,24,4.2,3,391,5,3.1355309029100744
5.2,55,3.0,4,389,9,3.294632599631027
2.85,40,3.0,2,389,5,7.163038112902075
4.7,60,6.0,3,389,6,7.621127302391137
5.0,57,1.5,2,389,5,9.198068658214853
3.6,60,6.0,2,389,5,7.163038112902075
3.2,52,2.7,1,389,5,13.338088016589758
5.5,55,6.0,2,389,6,9.358332682661967
2.9,40,3.0,2,389,5,10.527530422973213
12.5,107,6.0,4,390,9,7.913112076925176
5.8,64,6.0,3,390,10,6.9247897538086844
6.8,72,4.8,3,390,7,5.435991079565026
4.9,54,1.5,1,390,5,3.1355309029100744
4.3,55,3.3,3,390,4,7.507465652089816
6.28,66,4.8,2,390,9,7.031684224173031
6.9,68,4.8,3,390,6,10.527530422973213
7.0,73,1.5,2,390,6,9.652203006550883
2.4,25,1.5,3,387,5,5.609554429497919
1.48,20,6.0,3,387,6,3.939992879354618
6.3,58,4.8,2,387,5,9.358332682661967
3.05,53,2.7,2,387,3,3.1355309029100744
5.89,84,4.8,4,387,8,10.527530422973213
6.8,67,6.0,4,388,4,7.621127302391137
5.5,55,2.7,4,388,9,9.358332682661967
3.4,64,1.5,2,388,3,13.090278231798223
4.5,55,6.0,3,388,7,9.358332682661967
9.5,55,4.8,4,388,9,11.426898375614321
10.38,80,3.3,4,388,8,10.527530422973213
5.2,64,3.0,2,388,4,7.621127302391137
5.9,76,6.0,4,388,7,7.621127302391137
6.4,45,2.7,2,388,8,2.511149614478282
3.5,80,2.7,2,388,4,10.240431817143143
3.8,64,2.7,1,388,5,11.726942618268362
11.8,80,1.5,2,388,8,4.064113191301924
4.6,40,4.8,3,388,9,9.08938587444684
3.78,28,6.0,4,388,6,6.9247897538086844
8.5,74,4.2,4,388,9,12.483553704758409
3.0,49,3.0,3,388,6,6.031146510655099
5.6,66,4.8,3,388,6,9.358332682661967
13.38,72,3.0,2,389,9,7.621127302391137
6.3,68,6.0,2,389,5,4.064113191301924
1.74,46,4.2,3,387,7,3.637058881302865
8.35,94,4.8,1,387,6,4.4569652232866455
5.9,57,4.8,2,387,8,4.064113191301924
10.7,72,4.8,2,387,8,6.9247897538086844
5.4,76,6.0,4,387,7,7.338211880412269
1.98,19,1.5,2,387,2,4.654633128493446
4.5,56,1.5,2,387,4,5.609554429497919
